id,title,original_name,url,duration,count,liked_count,album_id,album_code,album_title,album_year,artists,languages
90,BB - As Long As You Love Me.mp3,As Long As You Love Me,songs-file/BB%20-%20As%20Long%20As%20You%20Love%20Me.mp3.mp3,215.6832,0,0,42,BB,Backstreet Boys,1993,Backstreet Boys,English
91,BB - Show Me the Meaning of Being Lonely.mp3,Show Me the Meaning of Being Lonely,songs-file/BB%20-%20Show%20Me%20the%20Meaning%20of%20Being%20Lonely.mp3.mp3,241.0232,0,0,42,BB,Backstreet Boys,1993,Backstreet Boys,English
92,BDLR - Jeena Jeena.mp3,Jeena Jeena,songs-file/BDLR%20-%20Jeena%20Jeena.mp3.mp3,229.04485,0,0,43,BDLR,Badlapur,2015,Atif Aslam,Hindi
93,BC - Ayaashi.mp3,Ayaashi,songs-file/BC%20-%20Ayaashi.mp3.mp3,261.5640816326531,0,0,44,BC,Badmaash Company,2010,KK,Hindi
94,BC - Chaska.mp3,Chaska,songs-file/BC%20-%20Chaska.mp3.mp3,313.91346938775513,0,0,44,BC,Badmaash Company,2010,"Krishna Beuraa, Url",Hindi
95,BJIM - Deewani Mastani.mp3,Deewani Mastani,songs-file/BJIM%20-%20Deewani%20Mastani.mp3.mp3,340.33739229024945,0,0,45,BJIM,Bajirao Mastani,2015,"Altamash Faridi, Ganesh Chandanshive, Farhaan Sabri, Mujtaba Aziz Naza, Shadab Faridi, Shreya Ghoshal",Hindi
96,BJIM - Malhari.mp3,Malhari,songs-file/BJIM%20-%20Malhari.mp3.mp3,244.19585,0,0,45,BJIM,Bajirao Mastani,2015,Vishal Dadlani,Hindi
97,BJIM - Pinga.mp3,Pinga,songs-file/BJIM%20-%20Pinga.mp3.mp3,255.24244897959184,0,0,45,BJIM,Bajirao Mastani,2015,"Shreya Ghoshal, Vaishali Mhade",Hindi
98,BJRNB - Bhar Do Jholi Meri.mp3,Bhar Do Jholi Meri,songs-file/BJRNB%20-%20Bhar%20Do%20Jholi%20Meri.mp3.mp3,499.568925,0,0,46,BJRNB,Bajrangi Bhaijaan,2015,Adnan Sami,Hindi
99,BJRNB - Chicken.mp3,Chicken,songs-file/BJRNB%20-%20Chicken.mp3.mp3,343.4510884353742,0,0,46,BJRNB,Bajrangi Bhaijaan,2015,"Mohit Chauhan, Palak Muchhal",Hindi
